"YEAR","SERIAL","MONTH","HWTFINL","CPSID","STATEFIP","COUNTY","FAMINC","FSSTATUS","FSRAWSCRA","FSSTATUSMD","FSSTMPVALC","FSTOTXPNC","FSRAWSCRM","FSFOODS","FSWROUTY","FSBAL","PERNUM","AGE","SEX","RACE","MARST","VETSTAT","HISPAN","EMPSTAT","EDUC","DIFFANY"
2022,20185,12,4409.3163,20221102012600,17,0,843,1,0,1,999,90,0,1,99,99,1,31,1,100,6,1,0,10,111,1
2022,20187,12,7378.2129,20221202018700,17,0,830,99,99,99,999,999,99,99,99,99,1,85,2,200,3,1,0,36,73,2
2022,20187,12,7378.2129,20221202018700,17,0,830,99,99,99,999,999,99,99,99,99,2,67,1,200,6,1,0,36,111,1
2022,20188,12,7006.0813,20211202000500,17,0,100,3,8,4,380,150,8,1,3,2,1,60,1,200,4,1,0,32,81,2
2022,20189,12,4079.9944,20221002013600,17,0,730,1,0,1,999,120,0,1,99,99,1,78,1,100,5,2,0,36,111,1
2022,20190,12,5496.2721,20220902020800,17,0,842,1,0,1,999,4,0,1,99,99,1,41,1,100,6,1,0,10,81,1
2022,20192,12,7998.2774,20211101997700,17,0,830,1,0,1,999,80,0,1,99,99,1,56,2,200,6,1,0,36,123,1
2022,20199,12,4384.7406,20211001997600,17,0,100,1,0,1,900,250,0,1,1,1,1,30,2,100,6,1,0,34,73,1
2022,20199,12,4384.7406,20211001997600,17,0,100,1,0,1,900,250,0,1,1,1,2,1,1,100,9,0,0,0,1,0
2022,20199,12,4384.7406,20211001997600,17,0,100,1,0,1,900,250,0,1,1,1,3,2,1,801,9,0,0,0,1,0
2022,20199,12,4384.7406,20211001997600,17,0,100,1,0,1,900,250,0,1,1,1,4,4,1,801,9,0,0,0,1,0
2022,20199,12,4384.7406,20211001997600,17,0,100,1,0,1,900,250,0,1,1,1,5,8,2,801,9,0,0,0,1,0
2022,20201,12,4319.5159,20220902022000,17,0,300,99,99,99,999,999,99,99,99,99,1,76,1,100,1,1,100,36,40,2
2022,20201,12,4319.5159,20220902022000,17,0,300,99,99,99,999,999,99,99,99,99,2,77,2,100,1,1,100,36,50,2
2022,20202,12,5750.0074,20211202001500,17,0,842,1,0,1,999,130,0,1,99,99,1,34,2,100,1,1,0,10,123,1
2022,20202,12,5750.0074,20211202001500,17,0,842,1,0,1,999,130,0,1,99,99,2,35,1,100,1,1,0,10,125,1
2022,20202,12,5750.0074,20211202001500,17,0,842,1,0,1,999,130,0,1,99,99,3,2,1,100,9,0,0,0,1,0
2022,20203,12,3689.9997,20221002015200,17,0,720,1,0,1,999,200,0,1,99,99,1,61,2,100,5,1,0,10,50,1
2022,20206,12,4205.2448,20221102014700,17,0,843,1,0,1,999,300,0,1,99,99,1,33,1,100,1,1,0,10,123,1
2022,20206,12,4205.2448,20221102014700,17,0,843,1,0,1,999,300,0,1,99,99,2,31,2,100,1,1,0,10,111,1
2022,20207,12,4980.5222,20220902022600,17,0,740,1,0,1,999,90,0,2,1,1,1,25,1,100,6,2,0,10,73,1
2022,20209,12,4645.5802,20211202002200,17,0,710,1,2,1,100,150,0,2,1,2,1,29,1,651,6,1,0,10,73,1
2022,20209,12,4645.5802,20211202002200,17,0,710,1,2,1,100,150,0,2,1,2,2,20,1,651,6,1,0,10,81,1
2022,20214,12,4776.1367,20220902022900,17,0,842,1,0,1,999,140,0,1,99,99,1,70,1,100,5,1,0,36,91,1
2022,20218,12,12432.6032,20220902023400,17,0,740,2,3,1,999,30,0,1,2,2,1,33,2,200,6,1,0,10,123,1
2022,20218,12,12432.6032,20220902023400,17,0,740,2,3,1,999,30,0,1,2,2,2,11,2,200,9,0,0,0,1,0
2022,20219,12,4682.5599,20221202021900,17,0,843,1,0,1,999,250,0,1,99,99,1,28,1,651,6,1,0,10,123,1
2022,20219,12,4682.5599,20221202021900,17,0,843,1,0,1,999,250,0,1,99,99,2,28,1,300,6,1,100,10,81,1
2022,20220,12,5005.6802,20221002016500,17,0,841,1,0,1,999,460,0,1,99,99,1,29,1,100,1,1,0,10,111,1
2022,20220,12,5005.6802,20221002016500,17,0,841,1,0,1,999,460,0,1,99,99,2,29,2,100,1,1,0,10,111,1
2022,20221,12,5947.3935,20221202022100,17,0,600,99,99,99,999,999,99,99,99,99,1,65,2,100,1,1,100,36,73,1
2022,20221,12,5947.3935,20221202022100,17,0,600,99,99,99,999,999,99,99,99,99,2,65,1,100,1,1,100,36,111,1
2022,20222,12,5106.0893,20211001999000,17,0,500,99,99,99,999,999,99,99,99,99,1,72,2,100,1,1,100,36,10,1
2022,20222,12,5106.0893,20211001999000,17,0,500,99,99,99,999,999,99,99,99,99,2,75,1,100,1,1,100,36,10,2
2022,20223,12,6864.3274,20210901992200,17,0,842,1,0,1,999,70,0,1,99,99,1,24,2,100,6,1,0,10,111,1
2022,20224,12,5651.4239,20221202022400,17,0,841,1,0,1,999,330,0,1,99,99,1,34,1,100,6,1,600,12,111,1
2022,20225,12,4212.1389,20221102016000,17,0,842,99,99,99,999,999,99,99,99,99,1,38,2,100,6,1,100,10,92,1
2022,20225,12,4212.1389,20221102016000,17,0,842,99,99,99,999,999,99,99,99,99,2,35,1,100,6,1,100,34,123,1
2022,20226,12,5421.2402,20221202022600,17,0,843,1,0,1,999,460,0,1,99,99,1,49,1,100,6,1,0,10,111,1
2022,20227,12,6812.7515,20220902024000,17,0,843,1,0,1,999,320,0,1,99,99,1,28,2,100,6,1,0,10,111,1
2022,20227,12,6812.7515,20220902024000,17,0,843,1,0,1,999,320,0,1,99,99,2,30,1,100,6,1,0,10,123,1
2022,20228,12,5441.4903,20211001999500,17,0,841,1,0,1,999,140,0,1,99,99,1,24,1,100,6,1,100,10,111,1
2022,20231,12,7513.7465,20220902024200,17,0,842,3,6,3,200,200,5,3,2,3,1,64,2,200,6,1,0,21,111,1
2022,20233,12,5872.8825,20221202023300,17,0,842,99,99,99,999,999,99,99,99,99,1,33,2,651,1,1,0,10,92,1
2022,20233,12,5872.8825,20221202023300,17,0,842,99,99,99,999,999,99,99,99,99,2,37,1,651,1,1,0,10,92,1
2022,20234,12,4794.2913,20211001999800,17,0,600,1,0,1,999,200,0,1,1,1,1,59,2,100,4,1,0,10,91,1
2022,20236,12,5872.8825,20221202023600,17,0,820,1,1,1,999,230,0,2,2,1,1,32,1,651,1,1,0,10,111,1
2022,20236,12,5872.8825,20221202023600,17,0,820,1,1,1,999,230,0,2,2,1,2,31,2,651,1,1,0,34,111,1
2022,20236,12,5872.8825,20221202023600,17,0,820,1,1,1,999,230,0,2,2,1,3,7,2,651,9,0,0,0,1,0
2022,20239,12,8119.3428,20211102000400,17,0,740,1,2,1,999,260,0,1,2,1,1,39,1,200,1,1,0,10,111,1
2022,20239,12,8119.3428,20211102000400,17,0,740,1,2,1,999,260,0,1,2,1,2,38,2,200,1,1,0,10,91,1
2022,20239,12,8119.3428,20211102000400,17,0,740,1,2,1,999,260,0,1,2,1,3,11,2,200,9,0,0,0,1,0
2022,20241,12,4005.7109,20221002018000,17,0,300,99,99,99,999,999,99,99,99,99,1,75,1,200,6,1,0,32,111,1
2022,20242,12,4958.1366,20210901993200,17,0,820,1,0,1,999,0,0,1,99,99,1,70,1,200,6,1,0,12,124,1
2022,20243,12,5810.2465,20221102017800,17,0,500,1,1,2,190,130,1,2,1,3,1,71,2,200,4,1,0,36,81,1
2022,20245,12,4743.9781,20211102001000,17,0,740,1,1,2,999,30,1,2,2,1,1,77,1,100,5,2,200,34,123,1
2022,20246,12,4080.6917,20210901995000,17,0,500,1,0,1,999,80,0,1,99,99,1,72,2,100,5,1,0,36,91,1
2022,20249,12,4917.9894,20221102019100,17,0,830,1,0,1,999,420,0,1,99,99,1,60,1,100,4,1,0,36,123,1
2022,20250,12,5506.6007,20221202025000,17,0,820,1,0,1,999,100,0,1,99,99,1,74,2,100,4,1,0,36,123,1
2022,20251,12,5693.449,20210901996400,17,0,300,99,99,99,999,999,99,99,99,99,1,74,2,200,6,1,0,36,73,1
2022,20252,12,4820.3245,20221202025200,17,0,842,1,0,1,999,370,0,2,1,1,1,52,1,100,6,1,0,10,111,1
2022,20252,12,4820.3245,20221202025200,17,0,842,1,0,1,999,370,0,2,1,1,2,44,2,100,6,1,0,32,111,2
2022,20253,12,5913.0065,20210901996900,17,0,820,1,0,1,999,400,0,1,99,99,1,31,1,100,4,1,100,21,60,1
2022,20253,12,5913.0065,20210901996900,17,0,820,1,0,1,999,400,0,1,99,99,2,10,2,100,9,0,100,0,1,0
2022,20253,12,5913.0065,20210901996900,17,0,820,1,0,1,999,400,0,1,99,99,3,49,1,100,1,1,100,10,10,1
2022,20253,12,5913.0065,20210901996900,17,0,820,1,0,1,999,400,0,1,99,99,4,52,2,100,1,1,100,34,20,1
2022,20256,12,5268.729,20211202007200,17,0,843,1,0,1,999,550,0,1,99,99,1,39,1,100,1,1,0,10,111,1
2022,20256,12,5268.729,20211202007200,17,0,843,1,0,1,999,550,0,1,99,99,2,38,2,100,1,1,0,10,123,1
2022,20256,12,5268.729,20211202007200,17,0,843,1,0,1,999,550,0,1,99,99,3,5,2,100,9,0,0,0,1,0
2022,20256,12,5268.729,20211202007200,17,0,843,1,0,1,999,550,0,1,99,99,4,8,1,100,9,0,0,0,1,0
2022,20256,12,5268.729,20211202007200,17,0,843,1,0,1,999,550,0,1,99,99,5,8,2,100,9,0,0,0,1,0
2022,20257,12,5160.908,20221202025700,17,0,842,1,0,1,999,390,0,1,99,99,1,40,2,100,1,1,0,10,111,1
2022,20257,12,5160.908,20221202025700,17,0,842,1,0,1,999,390,0,1,99,99,2,44,1,100,1,1,0,10,111,1
2022,20257,12,5160.908,20221202025700,17,0,842,1,0,1,999,390,0,1,99,99,3,7,1,100,9,0,0,0,1,0
2022,20259,12,4536.3633,20221102020100,17,0,820,99,99,99,999,999,99,99,99,99,1,53,1,100,1,1,0,10,92,1
